description,id_iaps,valence_mean,valence_standard_deviation,arousal_mean,arousal_standard_deviation,dominance_1_mean,dominance_1_standard_deviation,dominance_2_mean,dominance_2_standard_deviation,set_id
Fire,9941,2.9100000000000001,1.54,5.8300000000000001,2.1400000000000001,3.2799999999999998,2.1600000000000001,,,18
Explosion,9940,1.6200000000000001,1.2,7.1500000000000004,2.2400000000000002,2.4500000000000002,2.2200000000000002,,,20
ShipWave,9930,3.1200000000000001,1.53,5.71,1.8799999999999999,2.9700000000000002,1.8100000000000001,,,17
Flood,9927,2.71,1.5600000000000001,5.29,1.9099999999999999,3.6000000000000001,2.0800000000000001,,,20
Flood,9926,3.8500000000000001,1.5900000000000001,4.8300000000000001,1.95,,,4.3700000000000001,2,16
Fire,9925,2.8399999999999999,1.3500000000000001,5.5899999999999999,2.23,,,3.5,2.0800000000000001,16
Fire,9922,2.7799999999999998,1.3200000000000001,5.21,2.0299999999999998,3.7200000000000002,2.1299999999999999,,,20
Fire,9921,2.04,1.47,6.5199999999999996,1.9399999999999999,3.5699999999999998,2.4100000000000001,2.9399999999999999,1.72,7
CarAccident,9920,2.5,1.52,5.7599999999999998,1.96,3.0899999999999999,2.1299999999999999,,,6
Truck,9913,4.3799999999999999,1.8899999999999999,4.4199999999999999,2.1400000000000001,,,4.7400000000000002,2.27,13
Firefighter,9912,3.46,1.76,4.6799999999999997,2.3100000000000001,4.6200000000000001,2.1200000000000001,,,8
CarAccident,9911,2.2999999999999998,1.3700000000000001,5.7599999999999998,2.1000000000000001,3.54,2.1299999999999999,2.9900000000000002,1.5900000000000001,7
CarAccident,9910,2.0600000000000001,1.26,6.2000000000000002,2.1600000000000001,3.02,1.8899999999999999,,,5
BurningCar,9909,2.7799999999999998,1.45,5.9800000000000004,2.04,3.6699999999999999,1.96,,,18
CarAccident,9908,2.3399999999999999,1.49,6.6299999999999999,2.1299999999999999,2.79,2.1200000000000001,,,20
CarAccident,9905,2.5499999999999998,1.4199999999999999,5.9299999999999997,2.1000000000000001,3.3300000000000001,2.1800000000000002,,,20
CarAccident,9904,2.3900000000000001,1.3600000000000001,6.0800000000000001,2.0600000000000001,3.3999999999999999,2.21,,,19
CarAccident,9903,2.3599999999999999,1.3500000000000001,5.71,2.2799999999999998,,,3.5800000000000001,2.2400000000000002,16
CarAccident,9902,2.3300000000000001,1.3799999999999999,6,2.1499999999999999,,,3.0800000000000001,2.1000000000000001,16
CarAccident,9901,2.27,1.25,5.7000000000000002,2.2200000000000002,,,3.3999999999999999,2.1200000000000001,15
CarAccident,9900,2.46,1.3899999999999999,5.5800000000000001,2.1299999999999999,,,3.6299999999999999,2.0499999999999998,15
Cigarettes,9832,2.9399999999999999,1.5800000000000001,4.46,2.0600000000000001,5.5300000000000002,2.5099999999999998,,,19
Cigarette,9831,2.9500000000000002,1.72,4.6100000000000003,2.3399999999999999,6.04,2.1600000000000001,,,18
Cigarettes,9830,2.54,1.75,4.8600000000000003,2.6299999999999999,4.96,2.3799999999999999,,,6
