Device: samsung SM-G950U1; eSense app version: 4.9.0; android version: 9;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;HRV-Grabación-15112020-164827;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);15.11.20 16:48:27;;;;;;
TIEMPO (HH:MM:SS);00:05:10;;;;;;
MÁXIMO;89.7 HR;;;;;;
MÍNIMO;62.9 HR;;;;;;
DIFERENCIA MIN/MAX;26.8 HR;;;;;;
MEDIA DE LA SESIÓN;72.37 HR;;;;;;
;;;;;;;
SDNN;61.316 ms;;;;;;
RMSSD;33.049 ms;;;;;;
NN50;46;;;;;;
PNN50;12.366 %;;;;;;
ÍNDICE DE ESTRÉS;70.252;;;;;;
RR PROMEDIO;833.8 ms;;;;;;
HR PROMEDIO;72.0 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;16;;;;;;
CORAZONES RARANJAS;13;;;;;;
CORAZONES AMAARILLOS;18;;;;;;
CORAZONES VERDES;15;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
0;70.3;854;0.10;100.00;16:48:31:423;;
0.841;71.3;841;0.00;100.00;16:48:32:838;;
1.665;72.8;824;0.00;100.00;16:48:33:363;;
2.472;74.3;807;0.00;100.00;16:48:33:914;;
3.248;77.3;776;0.00;100.00;16:48:35:011;;
3.994;80.4;746;0.00;100.00;16:48:35:552;;
4.739;80.5;745;0.00;100.00;16:48:36:670;;
5.501;78.7;762;0.00;100.00;16:48:37:743;;
6.245;80.6;744;4.87;100.00;16:48:37:750;;
6.989;80.6;744;6.27;100.00;16:48:38:858;;
7.790;74.9;801;6.64;100.00;16:48:39:962;;
8.641;70.5;851;3.31;100.00;16:48:40:481;;
9.535;67.1;894;1.19;100.00;16:48:41:031;;
10.381;70.9;846;1.23;100.00;16:48:42:138;;
11.143;78.7;762;1.91;100.00;16:48:42:675;;
11.894;79.9;751;5.72;100.00;16:48:43:777;;
12.645;79.9;751;10.20;100.00;16:48:44:334;;
13.410;78.4;765;12.44;100.00;16:48:45:422;;
14.175;78.4;765;12.44;100.00;16:48:45:984;;
14.925;80.0;750;12.44;100.00;16:48:46:510;;
15.630;85.1;705;12.44;100.00;16:48:47:616;;
16.331;85.6;701;12.44;100.00;16:48:48:148;;
17.057;82.6;726;12.44;100.00;16:48:48:709;;
17.824;78.2;767;12.61;85.65;16:48:49:814;;
18.599;77.4;775;13.07;47.44;16:48:50:337;;
19.372;77.6;773;13.48;13.88;16:48:50:893;;
20.185;73.8;813;13.81;0.00;16:48:51:986;;
21.025;71.4;840;14.08;0.00;16:48:52:528;;
21.843;73.3;818;14.54;0.00;16:48:53:645;;
22.607;78.5;764;15.03;0.00;16:48:54:169;;
23.357;80.0;750;15.36;0.00;16:48:55:835;;
24.114;79.3;757;15.41;0.00;16:48:55:890;;
24.879;78.4;765;15.36;0.00;16:48:56:371;;
25.651;77.7;772;15.28;0.00;16:48:57:458;;
26.417;78.3;766;15.18;0.00;16:48:58:004;;
27.167;80.0;750;15.08;0.00;16:48:59:112;;
27.948;76.8;781;15.01;0.00;16:48:59:644;;
28.737;76.0;789;14.60;0.00;16:49:00:205;;
29.530;75.7;793;14.26;0.00;16:49:01:850;;
30.307;77.2;777;13.77;0.00;16:49:01:869;;
31.048;81.0;741;13.30;0.00;16:49:02:932;;
31.770;83.1;722;12.09;0.00;16:49:03:483;;
32.530;78.9;760;10.77;0.00;16:49:04:033;;
33.355;72.7;825;9.34;0.00;16:49:05:135;;
34.223;69.1;868;7.85;6.31;16:49:05:674;;
35.086;69.5;863;6.93;74.76;16:49:06:777;;
35.862;77.3;776;6.74;83.29;16:49:07:311;;
36.616;79.6;754;7.24;66.15;16:49:08:418;;
37.366;80.0;750;8.54;53.38;16:49:08:955;;
38.080;84.0;714;9.75;46.69;16:49:09:501;;
38.810;82.2;730;11.27;42.59;16:49:10:615;;
39.516;85.0;706;12.09;42.59;16:49:11:146;;
40.210;86.5;694;12.68;42.59;16:49:11:695;;
40.910;85.7;700;12.83;42.59;16:49:12:798;;
41.596;87.5;686;12.83;42.59;16:49:13:332;;
42.267;89.4;671;12.83;42.59;16:49:13:879;;
42.941;89.0;674;12.83;42.59;16:49:14:988;;
43.610;89.7;669;12.83;42.59;16:49:15:520;;
44.281;89.4;671;12.96;46.36;16:49:16:068;;
44.982;85.6;701;13.24;55.01;16:49:16:617;;
45.716;81.7;734;13.56;64.55;16:49:17:754;;
46.440;82.9;724;13.87;73.82;16:49:18:259;;
47.177;81.4;737;14.08;80.37;16:49:18:809;;
47.949;77.7;772;14.51;93.09;16:49:19:360;;
48.732;76.6;783;15.00;91.61;16:49:20:477;;
49.496;78.5;764;15.34;79.39;16:49:20:997;;
50.209;84.2;713;15.71;64.00;16:49:22:100;;
50.900;86.8;691;15.88;54.52;16:49:22:647;;
51.599;85.8;699;16.07;39.49;16:49:23:187;;
52.311;84.3;712;16.02;25.69;16:49:23:739;;
53.057;80.4;746;15.76;12.07;16:49:24:847;;
53.844;76.2;787;15.49;3.72;16:49:25:381;;
