ESTADÍSTICAS;;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;LF + HF;MARCAS DE TIEMPO;MARCADOR;
0;75.6;0;0.10;100.00;N.a.;18:56:37:981;;
0.804;74.6;804;0.00;100.00;N.a.;18:56:38:861;;
1.594;75.9;790;0.00;100.00;N.a.;18:56:39:423;;
2.368;77.5;774;0.00;100.00;N.a.;18:56:41:054;;
3.127;79.1;759;0.64;100.00;N.a.;18:56:41:090;;
3.927;75.0;800;0.64;100.00;N.a.;18:56:42:152;;
4.741;73.7;814;2.13;100.00;N.a.;18:56:42:690;;
5.527;76.3;786;2.52;100.00;N.a.;18:56:43:268;;
6.282;79.5;755;3.08;100.00;N.a.;18:56:44:332;;
7.038;79.4;756;3.31;100.00;N.a.;18:56:44:883;;
7.830;75.8;792;3.53;100.00;N.a.;18:56:45:977;;
8.623;75.7;793;3.91;99.45;N.a.;18:56:47:623;;
9.415;75.8;792;4.33;98.29;N.a.;18:56:47:646;;
10.168;79.7;753;4.51;97.24;N.a.;18:56:48:173;;
10.881;84.2;713;4.54;96.45;N.a.;18:56:48:717;;
11.554;89.2;673;4.44;95.47;N.a.;18:56:49:821;;
12.206;92.0;652;4.32;95.00;N.a.;18:56:50:354;;
12.874;89.8;668;4.22;94.68;N.a.;18:56:50:922;;
13.603;82.3;729;4.77;92.75;N.a.;18:56:51:460;;
14.406;74.7;803;5.46;90.72;N.a.;18:56:52:000;;
15.199;75.7;793;6.89;86.82;N.a.;18:56:53:093;;
15.974;77.4;775;8.50;82.57;N.a.;18:56:53:647;;
16.789;73.6;815;10.59;77.12;N.a.;18:56:54:734;;
17.625;71.8;836;13.86;68.81;N.a.;18:56:55:289;;
18.456;72.2;831;14.97;66.27;N.a.;18:56:56:932;;
19.249;75.7;793;15.71;65.08;N.a.;18:56:56:965;;
20.063;73.7;814;16.19;65.00;N.a.;18:56:58:019;;
20.885;73.0;822;16.60;65.00;N.a.;18:56:58:566;;
21.660;77.4;775;17.16;65.00;N.a.;18:56:59:665;;
22.366;85.0;706;17.57;65.00;N.a.;18:57:00:215;;
23.047;88.1;681;17.95;64.17;N.a.;18:57:00:757;;
