Device: Apple iPhone11,8; eSense app version: 4.5.91; ios version: 13.3.1;
DESCRIPCIÓN;VALOR;RR;Amplitud HRV
NOMBRE DE LA GRABACIÓN;F3;;;;;;;
eSense Pulse:;0000387;;;;;;;
FECHA (HH:MM:SS);15.06.20 15:58:40;;;;;;;
TIEMPO (HH:MM:SS);00:28:48;;;;;;;
MÁXIMO;111.7 HR;;;;;;;
MÍNIMO;64.3 HR;;;;;;;
DIFERENCIA MIN/MAX;47.4 HR;;;;;;;
MEDIA DE LA SESIÓN;82.66 HR;;;;;;;
;;;;;;;;
SDNN;54.070 ms;;;;;;;
RMSSD;37.568 ms;;;;;;;
NN50;338;;;;;;;
PNN50;13.984 %;;;;;;;
ÍNDICE DE ESTRÉS;36.267;;;;;;;
RR PROMEDIO;730.8 ms;;;;;;;
HR PROMEDIO;82.1 HR;;;;;;;
VALORES DE HR CORREGIDOS;1;;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;;
HF PROMEDIO;217.9813 ms2;;;;;;;
LF PROMEDIO;566.4074 ms2;;;;;;;
RELACIÓN LF/HF;2.5984;;;;;;;
CORAZONES ROJOS;61;;;;;;;
CORAZONES RARANJAS;64;;;;;;;
CORAZONES AMAARILLOS;128;;;;;;;
CORAZONES VERDES;92;;;;;;;
;;;;;;;;
¿EN QUÉ POSICIÓN SE ENCUENTRA?;SENTADO EN UNA SILLA;;;;;;;
SUJECIÓN DEL ELECTRODO:;CINTURÓN DE PECHO;;;;;;;
¿CÓMO SE SIENTE?;7;;;;;;;
;;;;;;;;
ESTADÍSTICAS;;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;LF + HF;MARCAS DE TIEMPO;MARCADOR;
0;94.3;0;0.10;100.00;N.a.;15:58:44:201;;
0.631;95.1;631;0.00;100.00;N.a.;15:58:44:945;;
1.274;93.3;643;0.00;100.00;N.a.;15:58:45:496;;
1.923;92.4;649;0.00;100.00;N.a.;15:58:46:041;;
2.540;97.2;617;0.25;100.00;N.a.;15:58:46:589;;
3.151;98.2;611;0.33;100.00;N.a.;15:58:47:683;;
3.795;93.2;644;0.58;100.00;N.a.;15:58:48:227;;
4.474;88.4;679;1.29;100.00;N.a.;15:58:49:325;;
5.193;83.4;719;1.74;100.00;N.a.;15:58:49:880;;
5.905;84.3;712;2.41;100.00;N.a.;15:58:50:422;;
6.614;84.6;709;2.96;100.00;N.a.;15:58:50:973;;
7.276;90.6;662;3.66;100.00;N.a.;15:58:51:524;;
7.913;94.2;637;4.27;100.00;N.a.;15:58:52:061;;
8.553;93.8;640;5.36;100.00;N.a.;15:58:53:167;;
9.190;94.2;637;7.06;100.00;N.a.;15:58:53:705;;
9.843;91.9;653;9.66;100.00;N.a.;15:58:54:256;;
10.493;92.3;650;11.61;100.00;N.a.;15:58:54:802;;
11.137;93.2;644;13.01;100.00;N.a.;15:58:55:347;;
11.817;88.2;680;13.56;100.00;N.a.;15:58:55:892;;
12.532;83.9;715;13.56;100.00;N.a.;15:58:56:987;;
13.290;79.2;758;13.49;96.04;N.a.;15:58:57:549;;
14.027;81.4;737;13.25;83.52;N.a.;15:58:58:090;;
14.761;81.7;734;13.02;70.96;N.a.;15:58:59:181;;
15.513;79.8;752;12.86;62.47;N.a.;15:58:59:725;;
16.232;83.4;719;12.49;42.98;N.a.;15:59:00:273;;
