Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Recording-25102020-174121;;;;
DATE (HH:MM:SS);25.10.20 17:41:21;;;;
TIME (HH:MM:SS);00:00:12;;;;
MAXIMUM;3.46 µS;;;;
MINIMUM;3.24 µS;;;;
DIFFERENCE MIN/MAX;0.22 µS;;;;
AVERAGE OF SESSION;3.34 µS;;;;
TIME INCREASE (HH:MM:SS);00:00:03;;;;
TIME STEADY (HH:MM:SS);00:00:01;;;;
TIME DECREASE (HH:MM:SS);00:00:07;;;;
;;;;;
TOTAL SCR;0;;;;
% of SCR OF SESSION;0.0%;;;;
Red hands;0;;;;
Orange hands;0;;;;
Yellow hands;3;;;;
Green hands;0;;;;
0-5 SCR/MIN (HH:MM:SS);00:00:16;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:00;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;3.46;17:41:21:531;0;0;
0.2;3.45;17:41:21:731;0;0;
0.4;3.44;17:41:21:931;0;0;
0.6;3.43;17:41:22:131;0;0;
0.8;3.43;17:41:22:331;0;0;
1.0;3.43;17:41:22:531;0;0;
1.2;3.44;17:41:22:731;0;0;
1.4;3.46;17:41:22:931;0;0;
1.6;3.46;17:41:23:131;0;0;
1.8;3.46;17:41:23:331;0;0;
2.0;3.46;17:41:23:531;0;0;
2.2;3.45;17:41:23:731;0;0;
2.4;3.43;17:41:23:931;0;0;
2.6;3.42;17:41:24:131;0;0;
2.8;3.41;17:41:24:331;0;0;
3.0;3.41;17:41:24:531;0;0;
3.2;3.42;17:41:24:731;0;0;
3.4;3.42;17:41:24:931;0;0;
3.6;3.43;17:41:25:131;0;0;
3.8;3.41;17:41:25:331;0;0;
4.0;3.40;17:41:25:531;0;0;
4.2;3.40;17:41:25:731;0;0;
4.4;3.39;17:41:25:931;0;0;
4.6;3.37;17:41:26:131;0;0;
4.8;3.35;17:41:26:331;0;0;
5.0;3.34;17:41:26:531;0;0;
5.2;3.34;17:41:26:731;0;0;
5.4;3.33;17:41:26:931;0;0;
5.6;3.32;17:41:27:131;0;0;
5.8;3.31;17:41:27:331;0;0;
6.0;3.30;17:41:27:531;0;0;
6.2;3.29;17:41:27:731;0;0;
6.4;3.29;17:41:27:931;0;0;
6.6;3.28;17:41:28:131;0;0;
6.8;3.27;17:41:28:331;0;0;
7.0;3.26;17:41:28:531;0;0;
7.2;3.25;17:41:28:731;0;0;
7.4;3.24;17:41:28:931;0;0;
7.6;3.24;17:41:29:131;0;0;
7.8;3.24;17:41:29:331;0;0;
8.0;3.24;17:41:29:531;0;0;
8.2;3.27;17:41:29:731;0;0;
8.4;3.29;17:41:29:931;0;0;
8.6;3.29;17:41:30:131;0;0;
8.8;3.29;17:41:30:331;0;0;
9.0;3.30;17:41:30:531;0;0;
9.2;3.29;17:41:30:731;0;0;
9.4;3.29;17:41:30:931;0;0;
9.6;3.27;17:41:31:131;0;0;
9.8;3.27;17:41:31:331;0;0;
10.0;3.27;17:41:31:531;0;0;
10.2;3.26;17:41:31:731;0;0;
10.4;3.25;17:41:31:931;0;0;
10.6;3.25;17:41:32:131;0;0;
10.8;3.25;17:41:32:331;0;0;
11.0;3.25;17:41:32:531;0;0;
11.2;3.26;17:41:32:731;0;0;
11.4;3.29;17:41:32:931;0;0;
11.6;3.32;17:41:33:131;0;0;
11.8;3.34;17:41:33:331;0;0;
12.0;3.35;17:41:33:531;0;0;
12.2;3.35;17:41:33:731;0;0;
12.4;3.35;17:41:33:931;0;0;
12.6;3.34;17:41:34:131;0;0;
12.8;3.33;17:41:34:331;0;0;
