Device: Xiaomi Redmi Note 7; eSense app version: 4.9.0; android version: 10;
DESCRIPCIÓN;VALOR
NOMBRE DE LA GRABACIÓN;Grabación-15112020-164817;;;;
FECHA (HH:MM:SS);15.11.20 16:48:17;;;;
TIEMPO (HH:MM:SS);00:05:18;;;;
MÁXIMO;7.11 µS;;;;
MÍNIMO;5.06 µS;;;;
DIFERENCIA MIN/MAX;2.05 µS;;;;
MEDIA DE LA SESIÓN;5.89 µS;;;;
AUMENTO DEL TIEMPO (HH:MM:SS);00:01:23;;;;
TIEMPO INVARIABLE (HH:MM:SS);00:00:20;;;;
DISMINUCIÓN DEL TIEMPO (HH:MM:SS);00:03:33;;;;
;;;;;
TOTAL SCR;21;;;;
% DE SCR DE LA SESIÓN;27.9%;;;;
Manos rojas;0;;;;
Manos naranjas;8;;;;
Manos amarillas;45;;;;
Manos verdes;11;;;;
0-5 SCR/MIN (HH:MM:SS);00:04:53;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:27;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
ESTRELLAS;1;;;;
ESTRELLAS CON COLA;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;5.18;16:48:17:347;0;0;
0.2;5.22;16:48:17:547;0;0;
0.4;5.23;16:48:17:747;0;0;
0.6;5.23;16:48:17:947;0;0;
0.8;5.23;16:48:18:147;0;0;
1.0;5.23;16:48:18:347;0;0;
1.2;5.22;16:48:18:547;0;0;
1.4;5.21;16:48:18:747;0;0;
1.6;5.21;16:48:18:947;0;0;
1.8;5.21;16:48:19:147;0;0;
2.0;5.21;16:48:19:347;0;0;
2.2;5.20;16:48:19:547;0;0;
2.4;5.20;16:48:19:747;0;0;
2.6;5.20;16:48:19:947;0;0;
2.8;5.19;16:48:20:147;0;0;
3.0;5.18;16:48:20:347;0;0;
3.2;5.19;16:48:20:547;0;0;
3.4;5.18;16:48:20:747;0;0;
