Device: samsung SM-G970U1; eSense app version: 4.5.91; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;F3-skin;;;;
DATE (HH:MM:SS);15.06.20 15:59:57;;;;
TIME (HH:MM:SS);00:27:29;;;;
MAXIMUM;11.39 µS;;;;
MINIMUM;2.39 µS;;;;
DIFFERENCE MIN/MAX;9 µS;;;;
AVERAGE OF SESSION;5.97 µS;;;;
TIME INCREASE (HH:MM:SS);00:07:36;;;;
TIME STEADY (HH:MM:SS);00:01:31;;;;
TIME DECREASE (HH:MM:SS);00:18:21;;;;
;;;;;
TOTAL SCR;108;;;;
% of SCR OF SESSION;28.9%;;;;
Red hands;6;;;;
Orange hands;72;;;;
Yellow hands;169;;;;
Green hands;83;;;;
0-5 SCR/MIN (HH:MM:SS);00:20:17;;;;
6-9 SCR/MIN (HH:MM:SS);00:06:54;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:20;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
WHAT IS YOUR POSITION?;SITTING ON A CHAIR;;;;
ELECTRODE TYPE:;VELCRO ELECTRODES;;;;
HOW DO YOU FEEL?;7;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;3.48;15:59:57:763;0;0;
0.2;3.47;15:59:57:963;0;0;
0.4;3.46;15:59:58:163;0;0;
0.6;3.44;15:59:58:363;0;0;
0.8;3.44;15:59:58:563;0;0;
1.0;3.44;15:59:58:763;0;0;
1.2;3.43;15:59:58:963;0;0;
1.4;3.42;15:59:59:163;0;0;
1.6;3.42;15:59:59:363;0;0;
1.8;3.42;15:59:59:563;0;0;
2.0;3.44;15:59:59:763;0;0;
2.2;3.48;15:59:59:963;0;0;
2.4;3.57;16:00:00:163;0;0;
2.6;3.61;16:00:00:363;0;0;
2.8;3.63;16:00:00:563;0;0;
3.0;3.63;16:00:00:763;0;0;
3.2;3.68;16:00:00:963;0;0;
3.4;3.76;16:00:01:163;0;0;
3.6;3.79;16:00:01:363;0;0;
3.8;3.80;16:00:01:563;0;0;
4.0;3.80;16:00:01:763;0;0;
4.2;3.80;16:00:01:963;0;0;
4.4;3.77;16:00:02:163;0;0;
4.6;3.73;16:00:02:363;0;0;
4.8;3.76;16:00:02:563;0;0;
5.0;3.80;16:00:02:763;0;0;
5.2;3.80;16:00:02:963;0;0;
5.4;3.88;16:00:03:163;0;0;
5.6;3.94;16:00:03:363;0;0;
5.8;4.03;16:00:03:563;0;0;
6.0;4.06;16:00:03:763;0;0;
6.2;4.10;16:00:03:963;1;0;
6.4;4.10;16:00:04:163;1;0;
6.6;4.16;16:00:04:363;1;0;
6.8;4.18;16:00:04:563;1;0;
7.0;4.20;16:00:04:763;1;0;
7.2;4.20;16:00:04:963;1;0;
