Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
0.0;1.07;19:44:35:525;0;0;
0.2;1.06;19:44:35:725;0;0;
0.4;1.06;19:44:35:925;0;0;
0.6;1.05;19:44:36:125;0;0;
0.8;1.06;19:44:36:325;0;0;
1.0;1.06;19:44:36:525;0;0;
1.2;1.06;19:44:36:725;0;0;
1.4;1.07;19:44:36:925;0;0;
1.6;1.10;19:44:37:125;0;0;
1.8;1.12;19:44:37:325;0;0;
2.0;1.12;19:44:37:525;0;0;
2.2;1.14;19:44:37:725;0;0;
2.4;1.15;19:44:37:925;0;0;
2.6;1.15;19:44:38:125;0;0;
2.8;1.15;19:44:38:325;0;0;
3.0;1.16;19:44:38:525;0;0;
3.2;1.16;19:44:38:725;0;0;
3.4;1.15;19:44:38:925;0;0;
3.6;1.15;19:44:39:125;0;0;
3.8;1.14;19:44:39:325;0;0;
4.0;1.13;19:44:39:525;0;0;
4.2;1.12;19:44:39:725;0;0;
4.4;1.12;19:44:39:925;0;0;
4.6;1.12;19:44:40:125;0;0;
4.8;1.12;19:44:40:325;0;0;
5.0;1.12;19:44:40:525;0;0;
5.2;1.12;19:44:40:725;0;0;
5.4;1.12;19:44:40:925;0;0;
5.6;1.12;19:44:41:125;0;0;
5.8;1.13;19:44:41:325;0;0;
6.0;1.13;19:44:41:525;0;0;
6.2;1.13;19:44:41:725;0;0;
6.4;1.13;19:44:41:925;0;0;
6.6;1.13;19:44:42:125;0;0;
6.8;1.13;19:44:42:325;0;0;
7.0;1.13;19:44:42:525;0;0;
7.2;1.12;19:44:42:725;0;0;
7.4;1.12;19:44:42:925;0;0;
7.6;1.12;19:44:43:125;0;0;
7.8;1.12;19:44:43:325;0;0;
8.0;1.11;19:44:43:525;0;0;
8.2;1.11;19:44:43:725;0;0;
8.4;1.11;19:44:43:925;0;0;
8.6;1.11;19:44:44:125;0;0;
8.8;1.11;19:44:44:325;0;0;
9.0;1.11;19:44:44:525;0;0;
9.2;1.11;19:44:44:725;0;0;
9.4;1.11;19:44:44:925;0;0;
9.6;1.11;19:44:45:125;0;0;
9.8;1.10;19:44:45:325;0;0;
10.0;1.10;19:44:45:525;0;0;
10.2;1.10;19:44:45:725;0;0;
10.4;1.10;19:44:45:925;0;0;
10.6;1.09;19:44:46:125;0;0;
10.8;1.09;19:44:46:325;0;0;
11.0;1.09;19:44:46:525;0;0;
11.2;1.09;19:44:46:725;0;0;
11.4;1.08;19:44:46:925;0;0;
11.6;1.08;19:44:47:125;0;0;
11.8;1.08;19:44:47:325;0;0;
